RA[deg] Ê Ê Ê,Dec[deg] Ê
140.998,4.872
327.95,-52.142
117.429,-84.37
180.884,-67.684
333.507,-39.259
152.181,32.792
34.128,72.21
202.782,-84.108
174.537,-3.894
217.057,-3.633
179.299,68.761
8.905,-12.661
136.139,-29.035
130.823,25.317
237.238,12.535
355.231,-32.729
87.627,29.481
229.674,-28.113
256.825,30.832
211.938,-15.553
91.603,-42.73
274.545,3.748
5.074,6.417
312.793,77.595
239.76,-32.21
274.119,-31.301
14.966,-7.2
124.172,-37.815
98.854,-64.804
76.486,60.098
223.953,15.882
261.556,9.627
128.187,-1.881
111.989,31.253
332.218,-30.827
334.253,-2.645
71.591,62.645
63.812,13.128
181.885,51.179
296.046,9.328
54.251,58.46
67.373,-15.329
347.497,-38.859
107.196,4.866
198.579,53.85
127.191,-64.701
193.709,-15.416
322.287,-9.194
42.493,-21.806
18.684,3.505
315.644,-25.112
177.317,-7.975
200.03,46.391
262.375,-8.11
26.33,39.287
202.382,64.083
15.679,24.548
238.192,0.79
30.713,-12.501
230.594,29.572
130.237,16.337
238.644,14.35
307.65,-13.673
127.447,-6.743
281.546,39.742
144.774,-77.168
239.06,6.748
48.137,-2.037
190.261,21.018
348.001,-42.033
31.746,29.193
92.438,-35.088
195.428,-12.296
129.942,-44.719
185.776,-21.846
266.507,-57.462
154.734,45.663
217.768,-49.87
242.812,-8.627
354.519,-47.105
109.282,-44.722
352.007,12.829
242.464,45.537
206.866,3.021
200.713,8.63
301.036,-33.9
141.975,-11.862
159.873,-78.435
297.641,-39.362
165.726,2.815
208.781,-10.676
212.923,-41.74
100.22,-30.707
357.098,-27.491
79.39,7.641
81.868,-67.586
259.115,12.529
74.404,-4.599
12.024,-13.912
331.358,-26.265
12.644,-73.021
43.301,-9.508
266.308,-20.475
316.901,-0.11
157.016,-71.587
239.937,-39.183
183.29,-6.955
347.338,-34.826
283.757,19.73
204.644,-44.817
253.759,-20.175
211.137,49.656
268.77,23.797
29.227,15.543
349.543,8.223
36.24,40.922
286.133,-15.297
281.065,-6.764
283.33,-44.212
346.146,-23.578
6.716,-10.065
235.687,-19.891
107.623,42.14
315.447,-57.913
258.676,-30.613
305.625,65.89
334.406,-21.111
248.968,-1.705
13.133,-28.657
139.237,44.604
222.037,-62.33
299.588,-50.073
17.679,28.076
250.134,17.784
24.87,8.903
167.062,-18.682
251.646,11.244
307.858,-27.307
253.808,-44.993
89.614,20.197
137.3,75.218
81.4,-52.931
257.119,-83.817
283.344,-8.841
99.221,2.551
279.938,4.851
276.623,-40.097
194.167,-7.346
323,7.04
212.739,22.355
25.811,-28.395
309.594,-4.489
185.44,10.783
303.216,-33.191
68.193,-0.929
98.974,21.234
236.026,-8.012
354.26,-18.811
255.791,4.33
144.609,50.663
34.819,-21.363
265.318,3.357
292.301,-35.444
77.669,-31.809
276.752,39.664
165.114,-11.73
55.223,-65.252
342.281,-19.453
59.109,-23.41
176.174,54.068
351.533,10.911
107.931,54.17
313.817,-25.232
263.978,-56.494
22.842,-16.87
131.304,2.288
167.744,25.343
28.362,-17.631
190.926,-60.247
335.373,23.737
178.966,59.723
85.816,11.704
195.476,-35.241
28.071,52.919
117.318,6.172
4.24,-50.315
37.662,26.75
245.577,20.731
104.98,-14.31
159.887,-23.217
22.933,46.283
59.787,-15.562
159.068,-12.312
11.65,-48.82
22.312,-30.833
245.352,-44.74
343.852,8.557
115.504,33.86
156.976,-15.492
339.809,-56.367
85.185,15.795
98.819,31.851
344.537,-55.021
56.033,-17.295
195.011,-9.144
123.293,-0.149
19.033,-1.481
69.775,-3.063
185.124,57.122
185.945,-21.015
43.099,62.635
31.333,69.208
30.213,10.772
314.107,-22.298
145.149,23.962
42.241,-57.259
307.321,-5.216
352.024,41.005
344.432,5.617
216.864,-4.928
292.261,-29.713
209.38,-25.999
111.192,68.483
237.03,17.658
200.176,31.082
189.106,14.932
33.766,25.397
84.069,-60.305
269.083,69.594
299.618,-5.605
254.139,-33.062
216.4,-15.038
68.514,-0.125
346.354,30.208
48.336,-37.394
97.991,-4.471
4.701,-0.162
54.24,-35.5
189.389,32.572
202.72,-62.505
329.666,-22.544
276.437,-70.135
333.848,-33.457
86.989,37.715
303.551,18.414
310.877,-36.834
265.827,-24.093
298.608,-35.245
17.582,-45.721
97.987,-56.465
272.319,-11.356
157.19,-1.245
36.41,-56.127
206.371,-29.948
13.178,3.936
356.193,5.188
84.709,-35.592
297.338,-21.529
1.247,-68.052
202.517,-16.243
272.675,-59.942
154.363,-32.927
167.332,-26.087
215.192,-7.178
270.134,18.224
335.882,-74.102
112.573,-51.358
46.143,16.893
144.417,16.925
359.027,-21.922
251.01,58.058
80.96,10.018
349.2,-58.077
154.855,22.18
102.637,-41.972
25.568,-30.788
301.004,-80.388
29.417,-61.045
28.553,-43.733
61.15,-17.429
348.63,-34.983
72.307,-45.302
164.23,-61.011
195.676,34.246
227.53,57.278
211.562,21.18
14.955,-0.963
193.464,3.365
304.452,52.23
74.577,-37.453
170.574,-2.226
127.262,-17.803
135.642,-15.671
94.044,29.056
104.26,26.084
221.033,-52.408
59.643,-26.566
342.835,32.757
59.806,5.967
325.539,-28.149
298.575,29.862
83.982,83.101
359.539,1.011
60.775,10.257
211.967,65.106
118.081,-3.847
84.759,1.673
245.857,-38.464
300.254,86.54
325.261,-70.384
70.703,-17.772
84.963,-22.652
73.974,-7.587
306.815,-82.519
63.787,-13.593
201.296,58.464
1.389,-35.231
308.241,-65.802
158.068,-37.856
63.214,39.509
20.393,-35.825
130.968,-9.553
343.144,8.788
172.382,8.092
151.309,-74.07
300.402,-0.668
312.351,-26.824
199.52,-25.019
182.6,-30.978
302.092,9.72
138.815,18.011
5.004,-72.834
273.931,-62.482
271.836,-32.451
46.101,-14.778
151.121,-2.146
228.674,-20.902
55.082,-0.293
33.779,78.073
343.884,11.914
35.796,22.474
334.287,-15.012
163.976,-74.62
254.914,-33.261
355.982,-74.111
322.315,-4.831
255.452,-6.365
205.128,-14.005
217.611,36.618
12.849,-17.367
266.219,35.653
349.528,-11.541
118.676,-54.143
273.091,-10.237
4.213,12.699
335.975,-19.551
53.588,-3.71
211.983,-39.832
41.089,62.418
44.365,55.07
287.035,-51.075
217.857,-39.983
88.571,-76.149
50.804,5.846
146.917,-28.039
202.45,-15.383
313.597,-16.872
300.013,16.918
239.738,26.724
36.416,-8.601
318.052,-29.718
321.965,-19.776
306.365,69.876
264.709,-30.3
258.601,48.488
351.899,-11.644
324.796,63.626
137.66,7.515
140.672,-1.62
109.74,-4.033
116.686,-34.598
6.623,6.538
238.684,-53.69
3.756,-33.68
97.535,35.113
251.657,-32.025
54.983,-19.836
295.352,-38.578
321.665,26.104
50.296,71.266
19.733,43.579
322.779,29.503
150.307,-28.725
225.236,-0.861
335.534,-13.481
56.611,-55.247
3.672,66.93
7.216,-39.935
80.73,-55.731
162.004,66.009
150.478,-3.519
55.114,4.871
36.444,-9.39
101.19,-58.395
233.179,-67.092
275.848,-36.121
101.612,63.037
82.129,38.609
342.407,-14.762
68.945,42.028
183.072,-61.156
264.48,-50.709
102.972,26.579
257.391,3.167
252.526,-81.573
318.986,-26.871
205.022,-14.133
29.173,-75.699
69.109,55.027
115.017,13.097
284.198,-54.029
